,x,y
1,290,422
2,175,629
3,154,744
4,769,350
5,591,277
6,832,336
7,877,645
8,838,639
9,896,58
10,866,620
11,141,834
12,889,624
13,147,757
14,763,219
15,573,260
16,167,601
17,862,691
18,740,269
19,715,334
20,738,251
21,574,304
22,169,753
23,759,378
24,810,236
25,838,618
26,822,297
27,791,296
28,206,560
29,865,381
30,484,103
31,133,615
32,822,310
33,146,737
34,793,91
35,110,878
36,534,280
37,725,212
38,832,567
39,548,286
40,441,345
41,603,295
42,43,461
43,835,707
44,868,630
45,896,658
46,817,402
47,142,748
48,114,614
49,79,582
50,803,522
51,752,262
52,781,410
53,546,319
54,796,221
55,881,685
56,786,502
57,157,765
58,244,681
59,894,670
60,892,702
61,233,549
62,941,956
63,158,596
64,743,240
65,864,759
66,785,269
67,301,239
68,841,357
69,906,415
70,653,741
71,664,266
72,259,500
73,341,910
74,770,395
75,522,252
76,881,862
77,857,614
78,506,861
79,724,78
80,762,359
81,657,275
82,126,886
83,802,634
84,106,942
85,792,245
86,686,37
87,181,765
88,294,446
89,820,611
90,39,937
91,568,403
92,870,697
93,854,373
94,818,668
95,651,293
96,730,317
97,945,943
98,472,314
99,772,461
100,756,317
