"","time","trap.id","nmales","ntrees"
"1",51,38,17,13
"2",73,78,97,11
"3",46,62,6,5
"4",76,28,186,59
"5",76,70,158,13
"6",69,28,48,19
"7",72,26,126,13
"8",71,68,82,14
"9",80,39,216,19
"10",70,26,74,8
"11",45,26,6,4
"12",53,34,14,9
"13",73,51,120,32
"14",57,19,14,10
"15",57,69,10,6
"16",64,54,8,5
"17",46,68,3,5
"18",52,69,12,7
"19",74,36,114,18
"20",48,38,8,4
"21",79,49,205,13
"22",73,23,148,25
"23",71,50,73,8
"24",79,60,242,6
"25",86,37,261,34
"26",83,68,245,20
"27",73,84,22,33
"28",78,72,259,175
"29",53,28,17,12
"30",70,62,70,17
"31",79,28,207,53
"32",68,36,37,7
"33",74,70,129,15
"34",83,27,268,43
"35",46,70,5,5
"36",73,59,124,11
"37",56,59,12,7
"38",81,73,295,190
"39",73,69,119,14
"40",78,90,223,179
"41",73,62,117,30
"42",70,53,66,25
"43",75,58,155,9
"44",83,48,228,18
"45",70,28,72,32
"46",72,28,114,34
"47",80,27,246,17
"48",75,8,158,29
"49",72,69,95,12
"50",62,27,15,11
"51",89,60,291,15
"52",73,69,99,14
"53",67,49,21,8
"54",51,73,9,6
"55",55,47,14,5
"56",73,28,120,27
"57",74,79,123,9
"58",80,26,221,12
"59",48,27,6,2
"60",48,72,6,6
"61",55,62,14,4
"62",82,92,272,214
"63",75,70,174,12
"64",73,36,128,17
"65",63,40,10,7
"66",74,69,137,12
"67",81,26,246,23
"68",73,60,106,12
"69",47,17,3,3
"70",72,39,109,22
"71",80,55,213,21
"72",67,69,26,9
"73",81,69,264,13
"74",73,72,29,26
"75",78,62,219,41
"76",70,47,71,20
"77",81,72,297,197
"78",73,52,124,23
"79",56,28,15,8
"80",70,29,76,31
"81",85,17,256,47
"82",68,26,31,7
"83",84,69,247,16
"84",75,38,159,40
"85",51,73,8,10
"86",54,78,17,7
"87",67,38,41,13
"88",72,69,121,15
"89",71,28,86,25
"90",70,28,56,24
"91",76,39,191,12
"92",59,37,13,9
"93",43,72,3,3
"94",59,59,14,6
"95",76,70,165,12
"96",73,69,106,9
"97",73,68,111,14
"98",87,78,241,9
"99",73,68,127,21
"100",74,79,141,15
