"","time","trap.id","nmales","ntrees"
"1",76,69,169,14
"2",78,62,179,37
"3",80,29,246,24
"4",64,28,8,9
"5",76,69,192,13
"6",72,38,108,9
"7",61,90,17,5
"8",41,25,2,2
"9",83,49,274,26
"10",73,69,109,11
"11",74,80,143,17
"12",72,72,33,28
"13",80,61,243,34
"14",60,80,16,5
"15",67,69,34,8
"16",71,61,104,18
"17",82,28,265,66
"18",58,39,12,9
"19",63,63,13,9
"20",54,69,13,6
"21",79,49,223,14
"22",57,38,9,7
"23",55,36,18,12
"24",44,62,5,4
"25",72,38,98,14
"26",77,68,168,17
"27",79,72,223,33
"28",74,47,146,15
"29",76,27,166,40
"30",76,21,147,7
"31",51,59,14,7
"32",66,36,17,9
"33",62,79,11,8
"34",80,71,283,171
"35",78,69,193,15
"36",38,72,3,1
"37",78,72,256,175
"38",77,39,185,25
"39",71,81,80,23
"40",77,39,172,19
"41",80,72,319,177
"42",46,70,4,4
"43",59,58,16,8
"44",76,28,168,37
"45",75,69,160,17
"46",77,36,178,20
"47",69,59,48,14
"48",43,52,5,5
"49",79,48,217,22
"50",79,82,248,179
"51",72,52,117,26
"52",81,35,268,24
"53",75,69,172,12
"54",79,40,199,14
"55",78,27,234,22
"56",60,68,14,6
"57",78,12,196,11
"58",76,63,164,10
"59",70,28,78,24
"60",85,52,289,37
"61",71,59,88,9
"62",49,62,4,4
"63",69,27,64,7
"64",80,69,272,13
"65",52,58,21,6
"66",67,49,32,16
"67",71,69,91,12
"68",71,7,96,26
"69",51,38,11,8
"70",76,63,181,40
"71",74,39,127,17
"72",69,29,56,18
"73",69,24,53,26
"74",80,72,304,195
"75",76,19,156,33
"76",80,29,259,37
"77",80,38,233,23
"78",71,37,108,22
"79",75,36,169,21
"80",61,39,16,8
"81",73,69,121,13
"82",67,34,28,14
"83",72,58,109,18
"84",73,28,114,20
"85",75,52,158,33
"86",78,28,213,73
"87",54,19,20,13
"88",68,62,32,10
"89",72,38,98,18
"90",72,62,28,19
"91",86,60,282,16
"92",71,54,99,21
"93",73,59,134,11
"94",74,36,135,14
"95",80,79,260,16
"96",82,46,285,30
"97",70,38,68,32
"98",79,42,213,46
"99",69,52,61,13
"100",46,69,7,3
"101",77,62,169,30
"102",74,52,144,31
"103",71,69,102,10
"104",76,26,161,23
"105",71,62,88,25
"106",73,69,132,11
"107",73,62,116,23
"108",47,94,6,4
"109",60,38,18,8
"110",73,36,134,17
"111",71,69,84,15
"112",79,39,226,61
"113",73,26,127,9
"114",73,15,118,13
"115",81,72,334,194
"116",54,62,12,6
"117",65,49,10,4
"118",76,69,154,15
"119",75,69,143,10
"120",77,80,155,15
"121",73,69,128,17
"122",67,69,23,10
"123",47,72,6,5
"124",70,60,62,13
"125",74,48,117,19
"126",75,80,134,18
"127",79,100,270,187
"128",64,43,7,14
"129",70,28,75,31
"130",66,99,17,7
"131",73,72,33,36
"132",62,39,22,5
"133",73,63,108,31
"134",73,58,109,13
"135",76,43,191,42
"136",78,69,206,12
"137",81,27,250,21
"138",49,61,7,5
"139",71,82,17,25
"140",75,79,175,13
"141",69,28,50,20
"142",73,18,116,29
"143",55,69,14,5
"144",67,49,30,4
"145",75,89,136,12
"146",82,62,252,36
"147",77,26,159,14
"148",49,62,6,6
"149",70,69,71,8
"150",72,41,101,21
