"","time","trap.id","nmales","ntrees"
"1",82,7,270,39
"2",102,10,358,62
"3",105,19,350,58
"4",82,8,277,37
"5",70,18,65,12
"6",85,10,269,21
"7",82,16,250,41
"8",89,14,299,39
"9",112,8,606,88
"10",78,18,194,14
"11",42,18,2,4
"12",75,18,175,18
"13",85,10,234,19
"14",84,10,256,62
"15",82,19,320,224
"16",74,18,134,10
"17",87,19,256,40
"18",86,9,256,44
"19",77,8,186,58
"20",52,14,16,14
"21",82,18,274,18
"22",79,10,231,19
"23",78,8,226,46
"24",118,14,592,98
"25",51,18,16,8
"26",71,16,89,23
"27",79,7,212,57
"28",81,18,221,16
"29",76,5,168,44
"30",83,18,279,15
"31",88,8,259,24
"32",89,5,291,60
"33",89,20,397,247
"34",85,18,274,24
"35",73,16,117,25
"36",86,8,288,34
"37",80,18,243,15
"38",68,18,35,13
"39",79,10,204,13
"40",90,19,427,237
"41",85,11,229,30
"42",78,13,198,13
"43",55,18,14,7
"44",115,18,622,29
"45",79,18,203,12
"46",80,18,239,12
"47",80,24,305,185
"48",81,14,254,14
"49",76,15,168,44
"50",72,18,115,12
"51",88,24,389,244
"52",87,5,291,23
"53",81,18,274,19
"54",100,20,311,28
"55",90,15,227,11
"56",86,24,379,247
"57",91,10,282,29
"58",107,8,266,26
"59",78,18,190,14
"60",85,13,285,18
"61",75,12,146,19
"62",66,9,17,6
"63",85,24,347,224
"64",86,19,301,47
"65",74,18,161,10
"66",97,18,329,15
"67",109,5,717,128
"68",56,13,15,3
"69",96,8,327,67
"70",83,19,253,40
"71",102,18,389,21
"72",43,8,4,1
"73",84,18,284,17
"74",93,7,264,41
"75",88,18,315,16
"76",90,10,238,49
"77",69,18,48,13
"78",91,10,259,55
"79",97,10,320,57
"80",70,5,84,28
"81",113,14,771,93
"82",97,3,313,30
"83",75,13,159,12
"84",72,18,83,10
"85",92,19,300,42
"86",92,21,262,42
"87",89,21,393,256
"88",81,18,236,22
"89",93,19,286,39
"90",75,16,139,20
"91",75,15,140,33
"92",73,18,128,13
"93",63,13,15,13
"94",118,10,987,74
"95",60,19,10,7
"96",68,9,33,12
"97",93,10,289,74
"98",51,18,13,5
"99",67,18,40,6
"100",78,18,209,17
"101",79,13,233,15
"102",91,13,318,64
"103",126,8,1333,111
"104",85,18,267,16
"105",86,13,284,15
"106",75,18,164,17
"107",52,18,17,6
"108",72,14,91,21
"109",87,10,311,30
"110",84,13,228,28
"111",82,8,254,41
"112",72,18,84,16
"113",72,5,105,15
"114",63,14,17,8
"115",45,23,2,6
"116",71,18,77,11
"117",80,19,311,177
"118",81,5,257,24
"119",85,13,282,20
"120",83,8,275,30
"121",121,10,724,107
"122",101,10,332,17
"123",92,19,300,45
"124",88,16,269,38
"125",89,7,291,23
"126",92,21,431,231
"127",76,10,175,25
"128",75,18,156,12
"129",89,23,288,19
"130",92,14,297,42
"131",89,14,248,35
"132",93,15,296,33
"133",68,19,6,5
"134",81,10,278,15
"135",100,10,368,42
"136",74,16,164,29
"137",79,18,202,17
"138",81,17,315,188
"139",75,7,157,24
"140",73,10,133,23
"141",93,18,310,17
"142",98,5,342,91
"143",83,21,335,242
"144",112,9,642,86
"145",71,18,89,14
"146",88,24,384,263
"147",85,8,237,56
"148",87,15,215,18
"149",76,18,180,14
"150",74,10,139,37
"151",93,14,355,40
"152",74,18,116,15
"153",116,12,912,80
"154",98,10,306,34
"155",86,18,239,11
"156",88,3,310,36
"157",85,16,264,37
"158",79,8,237,42
"159",81,8,272,45
"160",77,13,179,21
"161",69,18,51,10
"162",111,11,522,79
"163",64,8,12,8
"164",70,6,81,21
"165",101,23,513,297
"166",73,18,113,16
"167",78,23,208,10
"168",77,18,196,11
"169",87,8,302,56
"170",78,13,198,20
"171",85,19,356,227
"172",93,21,296,44
"173",62,18,18,8
"174",125,8,1298,93
"175",67,16,16,17
"176",71,18,86,11
"177",56,18,9,6
"178",80,10,246,20
"179",83,7,284,21
"180",74,18,145,11
"181",78,18,204,16
"182",75,13,153,11
"183",83,16,254,42
"184",107,10,571,88
"185",77,18,174,13
"186",112,8,843,84
"187",73,18,113,17
"188",88,18,300,13
"189",55,18,17,7
"190",76,18,183,14
"191",109,5,467,38
"192",100,18,334,25
"193",86,5,267,57
"194",97,3,308,64
"195",69,18,56,13
"196",89,5,287,56
"197",75,18,151,11
"198",77,14,218,27
"199",79,3,196,38
"200",65,19,6,9
"201",78,13,200,15
"202",108,22,2063,399
"203",111,19,2632,428
"204",50,2,12,6
"205",56,8,19,11
"206",97,21,382,247
"207",99,8,413,67
"208",81,8,253,47
"209",79,9,241,33
"210",97,8,355,60
"211",74,18,148,17
